init_checkpoint=/root/incumbent/auxhead-lite/seed17/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=17
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=12900 loss=0.5436 policy_loss=0.0207 reward_sum=-0.164
episode=12950 loss=0.2993 policy_loss=-0.1212 reward_sum=0.508
episode=13000 loss=0.5693 policy_loss=0.0709 reward_sum=-0.128
episode=13050 loss=0.1556 policy_loss=-0.2804 reward_sum=0.347
episode=13100 loss=0.5946 policy_loss=0.0894 reward_sum=-0.164
episode=13150 loss=0.1184 policy_loss=-0.3169 reward_sum=0.327
episode=13200 loss=0.4313 policy_loss=-0.0581 reward_sum=-0.140
episode=13250 loss=0.2873 policy_loss=-0.1639 reward_sum=0.386
episode=13300 loss=0.6281 policy_loss=0.1250 reward_sum=-0.152
episode=13350 loss=0.1351 policy_loss=-0.3298 reward_sum=-0.680
episode=13400 loss=0.9209 policy_loss=0.4018 reward_sum=-0.200
episode=13450 loss=-0.1119 policy_loss=-0.9311 reward_sum=-1.285
episode=13500 loss=0.3601 policy_loss=-0.1872 reward_sum=-0.720
episode=13550 loss=0.2989 policy_loss=-0.1697 reward_sum=0.386
episode=13600 loss=0.5220 policy_loss=0.0279 reward_sum=-0.152
episode=13650 loss=0.1536 policy_loss=-0.2759 reward_sum=-0.692
episode=13700 loss=0.8064 policy_loss=0.3127 reward_sum=-0.188
episode=13750 loss=0.3071 policy_loss=-0.0975 reward_sum=0.488
episode=13800 loss=0.6503 policy_loss=0.1434 reward_sum=-0.188
episode=13850 loss=0.2117 policy_loss=-0.1828 reward_sum=0.328
episode=13900 loss=0.5875 policy_loss=0.0829 reward_sum=-0.128
episode=13950 loss=0.3172 policy_loss=-0.0975 reward_sum=0.457
episode=14000 loss=0.6936 policy_loss=0.2025 reward_sum=-0.140
episode=14050 loss=0.0503 policy_loss=-0.8127 reward_sum=-1.412
episode=14100 loss=0.6837 policy_loss=0.2072 reward_sum=-0.176
episode=14150 loss=0.3488 policy_loss=-0.1126 reward_sum=0.457
episode=14200 loss=0.4826 policy_loss=-0.0162 reward_sum=-0.200
episode=14250 loss=0.0897 policy_loss=-0.7954 reward_sum=-1.412
episode=14300 loss=0.7910 policy_loss=0.2985 reward_sum=-0.200
episode=14350 loss=0.3276 policy_loss=-0.1037 reward_sum=0.367
episode=14400 loss=0.6299 policy_loss=0.1358 reward_sum=-0.200
episode=14450 loss=0.2625 policy_loss=-0.2032 reward_sum=0.379
episode=14500 loss=0.6327 policy_loss=0.1122 reward_sum=-0.140
episode=14550 loss=0.6239 policy_loss=0.1649 reward_sum=0.360
episode=14600 loss=0.6322 policy_loss=0.0970 reward_sum=-0.116
episode=14650 loss=0.0644 policy_loss=-0.3749 reward_sum=0.493
episode=14700 loss=0.1702 policy_loss=-0.3173 reward_sum=-0.720
episode=14750 loss=0.2662 policy_loss=-0.1729 reward_sum=0.308
episode=14800 loss=0.5143 policy_loss=0.0019 reward_sum=-0.128
latest_checkpoint=/root/outputs/auxhead-lite/seed17/target-140000/checkpoints/latest-tom_seed17.pt
