init_checkpoint=/root/incumbent/v6-omx-full2-promo-candidate/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=10650 loss=0.7179 policy_loss=0.2651 reward_sum=0.464
episode=10700 loss=0.5719 policy_loss=0.1093 reward_sum=-0.176
episode=10750 loss=0.2917 policy_loss=-0.1540 reward_sum=0.488
episode=10800 loss=0.5232 policy_loss=0.0089 reward_sum=-0.116
latest_checkpoint=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=10850 loss=0.2174 policy_loss=-0.1979 reward_sum=0.478
episode=10900 loss=0.6386 policy_loss=0.1300 reward_sum=-0.164
episode=10950 loss=0.0293 policy_loss=-0.3698 reward_sum=0.410
episode=11000 loss=0.6196 policy_loss=0.1133 reward_sum=-0.152
episode=11050 loss=0.3111 policy_loss=-0.0967 reward_sum=0.367
episode=11100 loss=0.4376 policy_loss=-0.0045 reward_sum=-0.140
episode=11150 loss=0.7029 policy_loss=0.2880 reward_sum=0.464
episode=11200 loss=0.5507 policy_loss=0.0854 reward_sum=-0.152
episode=11250 loss=0.3229 policy_loss=-0.1047 reward_sum=0.367
episode=11300 loss=0.6034 policy_loss=0.1145 reward_sum=-0.152
episode=11350 loss=0.3078 policy_loss=-0.1043 reward_sum=0.347
episode=11400 loss=0.5708 policy_loss=0.1020 reward_sum=-0.200
episode=11450 loss=0.2238 policy_loss=-0.2291 reward_sum=0.429
episode=11500 loss=0.3646 policy_loss=-0.0971 reward_sum=-0.200
episode=11550 loss=0.1279 policy_loss=-0.3182 reward_sum=0.415
episode=11600 loss=0.6210 policy_loss=0.1132 reward_sum=-0.128
episode=11650 loss=0.3210 policy_loss=-0.1604 reward_sum=-0.692
episode=11700 loss=0.6426 policy_loss=0.1519 reward_sum=-0.164
episode=11750 loss=0.0904 policy_loss=-0.5566 reward_sum=-1.260
episode=11800 loss=0.4401 policy_loss=0.0065 reward_sum=-0.140
episode=11850 loss=0.1439 policy_loss=-0.2847 reward_sum=0.409
episode=11900 loss=0.2771 policy_loss=-0.1522 reward_sum=-0.116
episode=11950 loss=0.2444 policy_loss=-0.1974 reward_sum=0.437
episode=12000 loss=0.6206 policy_loss=0.1806 reward_sum=-0.128
episode=12050 loss=0.2448 policy_loss=-0.1825 reward_sum=-0.692
episode=12100 loss=0.4612 policy_loss=-0.0092 reward_sum=-0.152
episode=12150 loss=0.2279 policy_loss=-0.5905 reward_sum=-1.367
episode=12200 loss=0.5008 policy_loss=0.0630 reward_sum=-0.164
episode=12250 loss=0.2213 policy_loss=-0.2045 reward_sum=0.425
episode=12300 loss=0.6105 policy_loss=0.1506 reward_sum=-0.164
episode=12350 loss=0.0094 policy_loss=-0.4222 reward_sum=0.485
episode=12400 loss=0.4805 policy_loss=0.0325 reward_sum=-0.092
episode=12450 loss=0.3055 policy_loss=-0.1089 reward_sum=0.379
episode=12500 loss=0.4944 policy_loss=0.0687 reward_sum=-0.164
episode=12550 loss=0.2932 policy_loss=-0.1236 reward_sum=0.367
episode=12600 loss=0.5392 policy_loss=0.1116 reward_sum=-0.152
episode=12650 loss=0.2064 policy_loss=-0.2377 reward_sum=0.531
episode=12700 loss=0.5065 policy_loss=0.0586 reward_sum=-0.164
episode=12750 loss=0.2946 policy_loss=-0.1452 reward_sum=0.457
episode=12800 loss=0.5950 policy_loss=0.1548 reward_sum=-0.152
latest_checkpoint=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v6-omx-full2-promo-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=12850 loss=0.6957 policy_loss=0.2503 reward_sum=0.370
episode=12900 loss=0.3729 policy_loss=-0.0270 reward_sum=-0.152
episode=12950 loss=0.6837 policy_loss=-0.0498 reward_sum=-1.263
episode=13000 loss=0.5163 policy_loss=0.0869 reward_sum=-0.188
episode=13050 loss=0.1942 policy_loss=-0.2355 reward_sum=0.398
episode=13100 loss=0.5598 policy_loss=0.1145 reward_sum=-0.164
