init_checkpoint=/root/incumbent/auxhead-lite-v2-local800/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=8700 loss=0.5927 policy_loss=0.0843 reward_sum=-0.092
episode=8750 loss=0.3684 policy_loss=-0.5345 reward_sum=-1.396
episode=8800 loss=0.8216 policy_loss=0.2992 reward_sum=-0.128
latest_checkpoint=/root/outputs/auxhead-lite/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=8850 loss=0.5424 policy_loss=0.0480 reward_sum=0.449
episode=8900 loss=0.6697 policy_loss=0.1301 reward_sum=-0.116
episode=8950 loss=0.0645 policy_loss=-0.4421 reward_sum=-0.708
episode=9000 loss=0.6199 policy_loss=0.1005 reward_sum=-0.188
episode=9050 loss=0.3466 policy_loss=-0.1351 reward_sum=0.357
init_checkpoint=/root/outputs/auxhead-lite/seed7/target-140000/checkpoints/latest-tom_seed7.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=140000
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=8850 loss=0.4777 policy_loss=-0.0028 reward_sum=-0.712
episode=8900 loss=0.5786 policy_loss=0.0685 reward_sum=-0.104
episode=8950 loss=0.2550 policy_loss=-0.2825 reward_sum=0.532
episode=9000 loss=0.4933 policy_loss=0.0071 reward_sum=-0.152
episode=9050 loss=0.6573 policy_loss=-0.2143 reward_sum=-1.294
episode=9100 loss=0.5502 policy_loss=-0.0585 reward_sum=-0.140
episode=9150 loss=0.2916 policy_loss=-0.5415 reward_sum=-1.282
episode=9200 loss=0.7387 policy_loss=0.1701 reward_sum=-0.152
episode=9250 loss=0.2248 policy_loss=-0.2252 reward_sum=0.469
episode=9300 loss=0.3047 policy_loss=-0.2291 reward_sum=-0.152
episode=9350 loss=0.2761 policy_loss=-0.1181 reward_sum=0.457
episode=9400 loss=0.6330 policy_loss=0.0404 reward_sum=-0.164
episode=9450 loss=0.3074 policy_loss=-0.1107 reward_sum=0.379
episode=9500 loss=0.2652 policy_loss=-0.2666 reward_sum=-1.228
episode=9550 loss=0.4245 policy_loss=-0.0176 reward_sum=-0.712
episode=9600 loss=0.5843 policy_loss=0.0562 reward_sum=-0.176
episode=9650 loss=-0.1470 policy_loss=-0.8448 reward_sum=-1.285
episode=9700 loss=0.5285 policy_loss=-0.0397 reward_sum=-0.200
episode=9750 loss=0.1231 policy_loss=-0.2965 reward_sum=-0.688
episode=9800 loss=0.6365 policy_loss=0.0693 reward_sum=-0.152
episode=9850 loss=0.2668 policy_loss=-0.2170 reward_sum=0.339
episode=9900 loss=0.6576 policy_loss=0.1194 reward_sum=-0.140
episode=9950 loss=0.2106 policy_loss=-0.6045 reward_sum=-1.248
episode=10000 loss=0.3457 policy_loss=-0.1651 reward_sum=-0.140
episode=10050 loss=0.1507 policy_loss=-0.3272 reward_sum=-0.680
episode=10100 loss=0.6779 policy_loss=0.1824 reward_sum=-0.140
episode=10150 loss=-0.0450 policy_loss=-0.9127 reward_sum=-1.288
episode=10200 loss=0.3420 policy_loss=-0.1573 reward_sum=-0.152
episode=10250 loss=-0.1476 policy_loss=-0.9628 reward_sum=-1.271
episode=10300 loss=0.6693 policy_loss=0.1254 reward_sum=-0.140
episode=10350 loss=0.1648 policy_loss=-0.3328 reward_sum=-0.732
episode=10400 loss=0.7296 policy_loss=0.1963 reward_sum=-0.152
episode=10450 loss=0.2813 policy_loss=-0.1785 reward_sum=0.290
episode=10500 loss=0.6314 policy_loss=0.0885 reward_sum=-0.140
episode=10550 loss=0.3257 policy_loss=-0.1132 reward_sum=0.347
episode=10600 loss=0.3641 policy_loss=-0.1356 reward_sum=-0.140
episode=10650 loss=0.1532 policy_loss=-0.3207 reward_sum=0.304
episode=10700 loss=0.6787 policy_loss=0.1574 reward_sum=-0.176
episode=10750 loss=0.3033 policy_loss=-0.1855 reward_sum=0.308
episode=10800 loss=0.5820 policy_loss=0.0766 reward_sum=-0.152
latest_checkpoint=/root/outputs/auxhead-lite/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=10850 loss=0.1993 policy_loss=-0.2492 reward_sum=-0.680
episode=10900 loss=0.6122 policy_loss=0.0971 reward_sum=-0.176
episode=10950 loss=0.6797 policy_loss=-0.0705 reward_sum=-1.283
episode=11000 loss=0.5498 policy_loss=0.0238 reward_sum=-0.152
episode=11050 loss=0.2436 policy_loss=-0.1870 reward_sum=-0.704
episode=11100 loss=0.7282 policy_loss=0.2207 reward_sum=-0.152
episode=11150 loss=0.2992 policy_loss=-0.1674 reward_sum=0.300
episode=11200 loss=0.6328 policy_loss=0.1106 reward_sum=-0.164
episode=11250 loss=0.0884 policy_loss=-0.7373 reward_sum=-1.285
episode=11300 loss=0.4959 policy_loss=0.0043 reward_sum=-0.152
episode=11350 loss=0.2445 policy_loss=-0.2222 reward_sum=0.386
episode=11400 loss=0.7023 policy_loss=0.1626 reward_sum=-0.152
episode=11450 loss=0.1877 policy_loss=-0.2781 reward_sum=0.331
episode=11500 loss=0.6005 policy_loss=0.0663 reward_sum=-0.188
episode=11550 loss=0.2845 policy_loss=-0.1694 reward_sum=0.308
episode=11600 loss=0.6157 policy_loss=0.1158 reward_sum=-0.176
episode=11650 loss=0.3406 policy_loss=-0.1266 reward_sum=0.457
episode=11700 loss=0.6312 policy_loss=0.1490 reward_sum=-0.128
episode=11750 loss=0.2007 policy_loss=-0.2789 reward_sum=0.466
episode=11800 loss=0.6722 policy_loss=0.1421 reward_sum=-0.164
episode=11850 loss=0.2747 policy_loss=-0.1728 reward_sum=0.278
episode=11900 loss=0.5774 policy_loss=0.0929 reward_sum=-0.188
episode=11950 loss=0.2436 policy_loss=-0.1776 reward_sum=0.328
episode=12000 loss=0.3776 policy_loss=-0.1220 reward_sum=-0.116
episode=12050 loss=0.1474 policy_loss=-0.6691 reward_sum=-1.357
episode=12100 loss=0.3477 policy_loss=-0.1219 reward_sum=-0.164
episode=12150 loss=0.2704 policy_loss=-0.1945 reward_sum=0.318
episode=12200 loss=0.5971 policy_loss=0.1171 reward_sum=-0.176
episode=12250 loss=0.1706 policy_loss=-0.2758 reward_sum=0.332
episode=12300 loss=0.5971 policy_loss=0.1062 reward_sum=-0.140
episode=12350 loss=0.1868 policy_loss=-0.2725 reward_sum=0.533
episode=12400 loss=0.6757 policy_loss=0.1353 reward_sum=-0.128
episode=12450 loss=0.0865 policy_loss=-0.3494 reward_sum=-0.692
episode=12500 loss=0.6481 policy_loss=0.1156 reward_sum=-0.152
episode=12550 loss=0.3383 policy_loss=-0.0916 reward_sum=0.367
episode=12600 loss=0.6047 policy_loss=0.1233 reward_sum=-0.152
episode=12650 loss=0.3539 policy_loss=-0.0908 reward_sum=0.367
episode=12700 loss=0.5679 policy_loss=0.1206 reward_sum=-0.176
episode=12750 loss=0.2764 policy_loss=-0.1494 reward_sum=0.457
episode=12800 loss=0.6058 policy_loss=0.1281 reward_sum=-0.188
latest_checkpoint=/root/outputs/auxhead-lite/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=12850 loss=0.2476 policy_loss=-0.2865 reward_sum=0.458
episode=12900 loss=0.6424 policy_loss=0.1661 reward_sum=-0.152
episode=12950 loss=0.3195 policy_loss=-0.1436 reward_sum=0.437
episode=13000 loss=0.6083 policy_loss=0.1129 reward_sum=-0.164
episode=13050 loss=0.3471 policy_loss=-0.1269 reward_sum=0.367
episode=13100 loss=0.6303 policy_loss=0.1338 reward_sum=-0.188
episode=13150 loss=0.2516 policy_loss=-0.2234 reward_sum=0.437
episode=13200 loss=1.1294 policy_loss=0.6354 reward_sum=-0.200
episode=13250 loss=0.1940 policy_loss=-0.2497 reward_sum=0.466
episode=13300 loss=0.6519 policy_loss=0.1821 reward_sum=-0.200
episode=13350 loss=0.2985 policy_loss=-0.1509 reward_sum=0.457
episode=13400 loss=0.3509 policy_loss=-0.1627 reward_sum=-0.740
episode=13450 loss=0.2654 policy_loss=-0.2467 reward_sum=0.508
episode=13500 loss=0.5063 policy_loss=-0.0456 reward_sum=-0.740
episode=13550 loss=0.1078 policy_loss=-0.3152 reward_sum=-0.720
episode=13600 loss=0.6016 policy_loss=0.0877 reward_sum=-0.140
episode=13650 loss=0.2866 policy_loss=-0.1495 reward_sum=-0.712
episode=13700 loss=0.6561 policy_loss=0.1555 reward_sum=-0.152
episode=13750 loss=0.2794 policy_loss=-0.1911 reward_sum=0.308
episode=13800 loss=0.6090 policy_loss=0.0975 reward_sum=-0.140
episode=13850 loss=0.1637 policy_loss=-0.2861 reward_sum=-0.700
episode=13900 loss=0.6771 policy_loss=0.1992 reward_sum=-0.140
episode=13950 loss=0.2771 policy_loss=-0.1693 reward_sum=0.359
episode=14000 loss=0.5688 policy_loss=0.0695 reward_sum=-0.128
episode=14050 loss=0.2358 policy_loss=-0.1852 reward_sum=0.310
episode=14100 loss=0.6102 policy_loss=0.0962 reward_sum=-0.128
episode=14150 loss=0.1683 policy_loss=-0.2731 reward_sum=0.312
episode=14200 loss=0.6549 policy_loss=0.1257 reward_sum=-0.152
episode=14250 loss=0.1219 policy_loss=-0.2842 reward_sum=-0.692
episode=14300 loss=0.6193 policy_loss=0.1009 reward_sum=-0.188
episode=14350 loss=0.2577 policy_loss=-0.1655 reward_sum=0.328
episode=14400 loss=0.6621 policy_loss=0.0936 reward_sum=-0.140
episode=14450 loss=0.2536 policy_loss=-0.1687 reward_sum=0.330
episode=14500 loss=0.7606 policy_loss=0.1506 reward_sum=-0.176
episode=14550 loss=0.2709 policy_loss=-0.2003 reward_sum=0.508
episode=14600 loss=0.6835 policy_loss=0.1247 reward_sum=-0.200
episode=14650 loss=0.2234 policy_loss=-0.2434 reward_sum=0.507
episode=14700 loss=0.5400 policy_loss=0.0303 reward_sum=-0.200
episode=14750 loss=0.6446 policy_loss=0.2036 reward_sum=0.351
episode=14800 loss=0.5711 policy_loss=0.0580 reward_sum=-0.128
latest_checkpoint=/root/outputs/auxhead-lite/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/auxhead-lite/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=14850 loss=0.7851 policy_loss=0.3489 reward_sum=-0.710
episode=14900 loss=0.8219 policy_loss=0.3233 reward_sum=-0.200
episode=14950 loss=0.2512 policy_loss=-0.1953 reward_sum=-0.692
episode=15000 loss=0.5267 policy_loss=0.0209 reward_sum=-0.140
episode=15050 loss=0.6087 policy_loss=-0.2333 reward_sum=-1.298
episode=15100 loss=0.4923 policy_loss=-0.0321 reward_sum=-0.200
episode=15150 loss=0.3687 policy_loss=-0.0732 reward_sum=0.508
episode=15200 loss=0.6469 policy_loss=0.0928 reward_sum=-0.200
episode=15250 loss=0.3533 policy_loss=-0.0732 reward_sum=0.508
episode=15300 loss=0.6028 policy_loss=0.0823 reward_sum=-0.188
episode=15350 loss=0.1821 policy_loss=-0.2625 reward_sum=0.300
episode=15400 loss=0.5965 policy_loss=0.0752 reward_sum=-0.176
episode=15450 loss=0.2104 policy_loss=-0.1937 reward_sum=0.359
episode=15500 loss=0.6332 policy_loss=0.0971 reward_sum=-0.176
episode=15550 loss=0.2101 policy_loss=-0.2089 reward_sum=0.308
episode=15600 loss=1.1145 policy_loss=0.5501 reward_sum=-0.188
episode=15650 loss=0.0707 policy_loss=-0.3626 reward_sum=-0.692
episode=15700 loss=0.6325 policy_loss=0.0907 reward_sum=-0.200
episode=15750 loss=0.2381 policy_loss=-0.1998 reward_sum=0.359
episode=15800 loss=0.4750 policy_loss=-0.0489 reward_sum=-0.200
episode=15850 loss=0.1516 policy_loss=-0.2558 reward_sum=-0.700
episode=15900 loss=0.6601 policy_loss=0.1151 reward_sum=-0.152
