init_checkpoint=/root/incumbent/v5-delayedtrust-split-candidate/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=15550 loss=0.3574 policy_loss=-0.1049 reward_sum=0.347
episode=15600 loss=0.6439 policy_loss=0.1157 reward_sum=-0.200
episode=15650 loss=0.2540 policy_loss=-0.1731 reward_sum=0.379
episode=15700 loss=0.5781 policy_loss=0.0662 reward_sum=-0.152
episode=15750 loss=0.1738 policy_loss=-0.2727 reward_sum=-0.692
episode=15800 loss=0.7414 policy_loss=0.1558 reward_sum=-0.092
episode=15850 loss=0.1829 policy_loss=-0.2458 reward_sum=0.379
episode=15900 loss=0.6582 policy_loss=0.1302 reward_sum=-0.188
episode=15950 loss=1.0933 policy_loss=0.1691 reward_sum=-1.312
episode=16000 loss=0.6598 policy_loss=0.0694 reward_sum=-0.140
episode=16050 loss=-0.3016 policy_loss=-1.0338 reward_sum=-1.285
episode=16100 loss=0.6114 policy_loss=0.0937 reward_sum=-0.176
episode=16150 loss=0.2295 policy_loss=-0.2143 reward_sum=0.406
episode=16200 loss=0.6143 policy_loss=0.0755 reward_sum=-0.200
episode=16250 loss=0.3123 policy_loss=-0.1241 reward_sum=0.327
episode=16300 loss=0.6388 policy_loss=0.0568 reward_sum=-0.188
episode=16350 loss=0.1176 policy_loss=-0.3101 reward_sum=0.427
episode=16400 loss=0.6497 policy_loss=0.1279 reward_sum=-0.200
episode=16450 loss=0.0467 policy_loss=-0.3835 reward_sum=-0.680
episode=16500 loss=0.6896 policy_loss=0.1186 reward_sum=-0.152
episode=16550 loss=0.2925 policy_loss=-0.1277 reward_sum=0.379
episode=16600 loss=0.7755 policy_loss=0.1794 reward_sum=-0.164
episode=16650 loss=0.1517 policy_loss=-0.2981 reward_sum=0.480
episode=16700 loss=0.7420 policy_loss=0.1450 reward_sum=-0.116
episode=16750 loss=0.2505 policy_loss=-0.1575 reward_sum=0.308
episode=16800 loss=0.6449 policy_loss=0.1193 reward_sum=-0.164
latest_checkpoint=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=16850 loss=0.1887 policy_loss=-0.2379 reward_sum=0.320
episode=16900 loss=0.5349 policy_loss=0.0119 reward_sum=-0.152
episode=16950 loss=0.5095 policy_loss=0.1038 reward_sum=-0.720
episode=17000 loss=0.5732 policy_loss=0.0496 reward_sum=-0.200
episode=17050 loss=-0.0186 policy_loss=-0.8546 reward_sum=-1.390
episode=17100 loss=0.6324 policy_loss=0.0679 reward_sum=-0.152
episode=17150 loss=0.2922 policy_loss=-0.1248 reward_sum=0.337
episode=17200 loss=0.1845 policy_loss=-0.3480 reward_sum=-0.176
episode=17250 loss=0.3041 policy_loss=-0.1171 reward_sum=0.508
episode=17300 loss=0.5881 policy_loss=0.0226 reward_sum=-0.140
episode=17350 loss=0.2994 policy_loss=-0.1164 reward_sum=0.359
episode=17400 loss=0.7300 policy_loss=0.1496 reward_sum=-0.200
episode=17450 loss=0.0619 policy_loss=-0.3988 reward_sum=0.481
episode=17500 loss=0.7323 policy_loss=0.1656 reward_sum=-0.188
episode=17550 loss=0.2396 policy_loss=-0.1671 reward_sum=-0.692
episode=17600 loss=0.6449 policy_loss=0.0680 reward_sum=-0.128
episode=17650 loss=0.0469 policy_loss=-0.3731 reward_sum=0.398
episode=17700 loss=0.4823 policy_loss=-0.0917 reward_sum=-0.140
episode=17750 loss=0.2579 policy_loss=-0.2082 reward_sum=0.508
episode=17800 loss=0.7015 policy_loss=0.1185 reward_sum=-0.164
episode=17850 loss=0.3064 policy_loss=-0.1504 reward_sum=0.367
episode=17900 loss=0.4709 policy_loss=-0.1021 reward_sum=-0.200
episode=17950 loss=0.2399 policy_loss=-0.1842 reward_sum=0.308
episode=18000 loss=0.5078 policy_loss=-0.0286 reward_sum=-0.200
episode=18050 loss=0.2722 policy_loss=-0.1597 reward_sum=0.386
episode=18100 loss=0.5326 policy_loss=-0.0225 reward_sum=-0.152
episode=18150 loss=0.1100 policy_loss=-0.2964 reward_sum=-0.692
